id_segmento,segmento_jusante
580175,579622
580176,582959
580177,585661
580719,582379
580720,581252
580721,582383
580722,580721
580728,581830
580729,588578
580730,579086
581251,581252
581252,582381
581253,582946
581263,584077
581264,586241
581265,582957
581266,581831
581267,583521
581268,580175
581269,588070
581270,585664
581271,586245
581830,589598
581831,582401
581832,582958
581833,583522
581834,581268
581835,582404
582379,587515
582380,586915
582381,584614
582382,584615
582383,584615
582384,577437
582385,586238
582399,586242
582400,582957
582401,583518
582402,581268
582403,582404
582404,583523
582945,582379
582946,589584
582947,579070
582957,583518
582958,583519
582959,583523
582960,588072
582961,585662
582962,586245
583506,585116
583507,582948
583518,585128
583519,585128
583520,582958
583521,583520
583522,583521
583523,584624
583524,584080
584069,585116
584070,584614
584071,578562
584078,588070
584079,585662
584080,585665
584081,585665
584613,582380
584614,585118
584615,588055
584616,586235
584617,582948
584623,583519
584624,586936
585116,586233
585117,585118
585118,586916
585119,589073
585120,582384
585126,584077
585127,586933
585128,586934
585129,583520
585130,584624
585131,585661
585652,586233
585653,586238
585654,594494
585656,585126
585657,586242
585658,586934
585659,583522
585660,591775
585661,588071
585662,588581
585663,585664
585664,586938
585665,588073
586233,586915
586234,586918
586235,586919
586236,586919
586237,585120
586238,590122
586241,585126
586242,587532
586243,590132
586244,592318
586245,588074
586915,587515
586916,586917
586917,586918
586918,588055
586919,589585
586920,586237
586921,586237
586922,582384
586933,586241
586934,588068
586935,586934
586936,589601
586937,586938
586938,587534
586939,588074
587514,587515
587515,589582
587516,589582
587517,582380
587518,586916
587519,588055
587520,587521
587521,586920
587530,586933
587531,590130
587532,588067
587533,587534
587534,588073
588054,586917
588055,590121
588056,589586
588067,588578
588068,587532
588069,591206
588070,588071
588071,588072
588072,588581
588073,592324
588074,589602
588568,590121
588569,589586
588570,587521
588571,586920
588575,587530
588576,588575
588577,588576
588578,589598
588579,588068
588580,590132
588581,592817
588582,589602
589072,589073
589073,589584
589074,585120
589582,591761
589583,591763
589584,592309
589585,592309
589586,589585
589595,589079
589596,590649
589597,590131
589598,590131
589599,590650
589600,592319
589601,588070
589602,592324
590120,591761
590121,593329
590122,593331
590129,588575
590130,591773
590131,590130
590132,590650
590133,596799
590134,589601
590135,592818
590642,591763
590643,590644
590644,590122
590649,588576
590650,591206
591194,591761
591195,590643
591202,591773
591203,591202
591204,591203
591205,592316
591206,592815
591207,596801
591208,595641
591761,592807
591762,599473
591763,597877
591764,596168
591772,590649
591773,591772
591774,591202
591775,592317
591776,593341
591777,592819
592305,592807
592306,592808
592307,592808
592308,594491
592309,596170
592314,591772
592315,591204
592316,592315
592317,592815
592318,591775
592319,592318
592320,592319
592321,597894
592322,592817
592323,592818
592324,592819
592807,596167
592808,593329
592809,590643
592813,591204
592814,597891
592815,593901
592816,592319
592817,593341
592818,592819
592819,595641
593328,597876
593329,593890
593330,596170
593331,594493
593332,595635
593338,589079
593339,593900
593340,596799
593341,597894
593888,594490
593889,593890
593890,594491
593891,590644
593892,593331
593899,597892
593900,597892
593901,593900
593902,592317
593903,600002
594489,594490
594490,596167
594491,596168
594492,594493
594493,594494
594494,595071
594495,595071
594499,593338
594500,593338
594501,592314
594502,591773
595068,596170
595069,598915
595070,597339
595071,595635
595076,592316
595077,596801
595078,596178
595635,596795
595638,587530
595639,597893
595640,606016
595641,596178
596167,597876
596168,599475
596169,597878
596170,597879
596171,596797
596176,591203
596177,596801
596178,598394
596789,608206
596790,597877
596791,598383
596792,604299
596793,597881
596794,598384
596795,596796
596796,596797
596797,598386
596799,597893
596800,602088
596801,607654
596802,598394
597336,598383
597337,597881
597338,604307
597339,601547
597340,596795
597341,598387
597345,594502
597346,593901
597876,599472
597877,605510
597878,597879
597879,599477
597880,598915
597881,598384
597882,597339
597890,594502
597891,600539
597892,597891
597893,607103
597894,600002
598381,597876
598382,599472
598383,603695
598384,604300
598385,598386
598386,598387
598389,598390
598390,592314
598391,598390
598392,592315
598393,603158
598394,602089
598914,599473
598915,599477
598916,595071
598927,599486
599472,602078
599474,603694
599475,599476
599476,599992
599477,602080
599478,596796
599483,602629
599484,600539
599485,601558
599486,600002
599487,599486
599992,597878
599993,602080
599994,604300
600000,607644
600001,601556
600002,602088
600003,608219
600004,608219
600005,611860
600534,606006
600535,599476
600536,601052
600539,601556
601051,601052
601052,601547
601058,601553
601059,606013
601060,602628
601545,602078
601546,599475
601547,603697
601554,601553
601555,602628
601556,603156
601557,601558
601558,604328
601559,602089
602079,601546
602080,603147
602081,604303
602085,603155
602086,602629
602087,603157
602088,603159
602089,607657
602622,608206
602623,603147
602627,603155
602628,604319
602629,603156
602630,608214
602631,603158
602632,611326
602633,606017
603146,601546
603147,604947
603148,604947
603149,603698
603150,606561
603155,604319
603156,604323
603157,604326
603158,604328
603159,604330
603160,603159
603161,604966
603162,604966
603694,603146
603695,606557
603696,604305
603697,603698
603698,603699
603699,603150
603700,603150
603701,604955
603708,603157
604296,604945
604297,604945
604298,599992
604299,603695
604300,604299
604301,604950
604302,604951
604303,604302
604304,604303
604305,604303
604306,604305
604307,604306
